season,name,team,Position,Cap.Hit.Pct.League.Cap,GF/60,xGF/60,Off. Zone Faceoffs/60,TOI,LDGF/60,Off. Zone Faceoff %,globalMoneyScore
20172018,Radko Gudas,PHI,D,0.0447,0.1294191919191919,0.3369397217928903,0.35951219512195126,0.4961567705813926,0.07162921348314608,0.3879,0.3775922211602525
20212022,Mattias Janmark,VGK,C,0.0245,0.16540404040404041,0.42040185471406494,0.42024390243902443,0.3982650169490014,0.15168539325842698,0.4623,0.3775645573107386
20182019,Mattias Janmark,DAL,C,0.0289,0.09532828282828283,0.35394126738794435,0.3026829268292683,0.5108522843713955,0.058988764044943826,0.4201,0.37754569637581015
20132014,Marcel Goc,FLA,C,0.021,0.12563131313131315,0.2936630602782071,0.39365853658536587,0.5007534387226791,0.1306179775280899,0.3432,0.37746889014808716
20202021,Adam Pelech,NYI,D,0.0196,0.16414141414141417,0.38485316846986095,0.3180487804878049,0.4883804520633872,0.10393258426966293,0.3531,0.37737875547296323
20112012,Tim Brent,CAR,C,0.0117,0.18055555555555555,0.38639876352395675,0.5187804878048781,0.35645261629925257,0.11376404494382024,0.5556,0.37737824228152883
20142015,Melker Karlsson,SJS,C,0.012,0.17613636363636365,0.42040185471406494,0.545609756097561,0.338950715421395,0.11938202247191011,0.5232,0.37736903827099605
20132014,Colin Greening,OTT,C,0.0127,0.11616161616161617,0.3400309119010819,0.45682926829268294,0.4328679062695192,0.08146067415730338,0.4858,0.3773311142291303
20202021,Christian Djoos,DET,D,0.0123,0.12563131313131315,0.4544049459041731,0.6763414634146342,0.22489804382398218,0.11235955056179776,0.7629,0.37732889968772254
20162017,Lars Eller,WSH,C,0.0479,0.14772727272727273,0.3276661514683153,0.38609756097560977,0.4666551463331075,0.10814606741573035,0.4393,0.3772296726768511
20162017,Steven Stamkos,TBL,C,0.1164,0.32386363636363635,0.5718701700154559,0.6982926829268292,0.1257136932329957,0.2808988764044944,0.6713,0.377194692005438
20122013,Anton Stralman,NYR,D,0.0242,0.18813131313131315,0.428129829984544,0.4780487804878049,0.35896177507439564,0.05617977528089888,0.5764,0.37707851028773126
20152016,Andrej Sustr,TBL,D,0.0203,0.14583333333333334,0.2998454404945904,0.30146341463414633,0.5373401534527494,0.05617977528089888,0.3729,0.377068148662222
20152016,Zemgus Girgensons,BUF,C,0.0125,0.10984848484848485,0.321483771251932,0.468780487804878,0.4424345062556933,0.033707865168539325,0.4971,0.37686366761812834
20212022,Jon Merrill,MIN,D,0.0104,0.1893939393939394,0.330757341576507,0.32878048780487806,0.48902329439420905,0.12359550561797754,0.3914,0.3768615492395315
20112012,Alec Martinez,LAK,D,0.0115,0.16161616161616163,0.45131375579598143,0.5282926829268293,0.31102509160167124,0.12921348314606743,0.609,0.3768460321370767
20202021,Ryan McDonagh,TBL,D,0.0828,0.15909090909090912,0.4173106646058733,0.35024390243902437,0.45371535231914656,0.09971910112359551,0.3887,0.3767926634020579
20122013,Sheldon Souray,ANA,D,0.0522,0.22222222222222224,0.41421947449768165,0.4814634146341463,0.3815995023018758,0.09269662921348315,0.4456,0.37660703774202037
20202021,Jesperi Kotkaniemi,MTL,C,0.0114,0.1553030303030303,0.3910355486862442,0.5421951219512195,0.3433331029378111,0.04353932584269663,0.6278,0.3764998073852329
20132014,Maxime Talbot,COL,C,0.028,0.11868686868686869,0.2751159196290572,0.34658536585365857,0.5425105413700778,0.046348314606741575,0.341,0.3764895985814067
20132014,Roman Polak,STL,D,0.0428,0.12436868686868688,0.29211746522411125,0.3246341463414634,0.5173843919265201,0.06882022471910113,0.4288,0.376420408197404
20132014,Jon Merrill,NJD,D,0.0097,0.125,0.35394126738794435,0.424390243902439,0.4143153383701646,0.07303370786516855,0.5823,0.376326465911023
20142015,Matt Cullen,NSH,C,0.0507,0.19255050505050506,0.3879443585780525,0.5621951219512196,0.33429183660754347,0.12078651685393259,0.5487,0.3760957022257086
20192020,Alexander Wennberg,CBJ,C,0.0601,0.15151515151515152,0.37712519319938176,0.47097560975609754,0.3940554365245878,0.10252808988764045,0.5066,0.3760060185730309
20202021,Zachary Werenski,CBJ,D,0.0614,0.14646464646464646,0.33384853168469864,0.5734146341463415,0.3532660537914767,0.14325842696629215,0.5567,0.37599945170130794
20122013,Jay Harrison,CAR,D,0.01,0.14141414141414144,0.4234930448222566,0.48024390243902443,0.3877306974632767,0.05196629213483146,0.4804,0.37570883516817344
20162017,Brian Boyle,TOR,C,0.0274,0.18181818181818182,0.3956723338485317,0.46414634146341466,0.4050736158015615,0.07443820224719103,0.4397,0.37569676375266714
20142015,Joe Colborne,CGY,C,0.0185,0.14962121212121213,0.3276661514683153,0.47000000000000003,0.4089790557822065,0.12359550561797754,0.5121,0.37547644823748877
20182019,Ryan Carpenter,VGK,C,0.0082,0.14141414141414144,0.44204018547140644,0.48317073170731706,0.35522222988880137,0.12780898876404495,0.5145,0.37545050109243716
20212022,Travis Dermott,VAN,D,0.0184,0.16856060606060608,0.4234930448222566,0.44682926829268294,0.38130918641053685,0.05337078651685394,0.5404,0.3754385632846705
20112012,Derek Morris,ARI,D,0.0428,0.11489898989898992,0.3137557959814528,0.42975609756097566,0.46432570678102375,0.06460674157303371,0.4387,0.3752499773190365
20112012,Anton Stralman,NYR,D,0.014,0.1710858585858586,0.44358578052550235,0.40048780487804886,0.3755374300270442,0.12078651685393259,0.5463,0.37524825564682585
20192020,Jake McCabe,BUF,D,0.035,0.12373737373737374,0.30139103554868624,0.37926829268292683,0.5068569848621682,0.060393258426966294,0.3627,0.37519832995304403
20172018,Mike Reilly,MTL,D,0.0097,0.1597222222222222,0.39721792890262747,0.5009756097560976,0.35339047488776476,0.08567415730337079,0.5911,0.3750933124422632
